Hour,Latitude,Longitude
0,-61.98982256420597,98.27699430262506
1,-63.34423916618181,89.21239892101826
2,-64.44021085370485,80.78160401632647
3,-65.2296830506937,72.97217620915058
4,-65.65977705452484,65.70933651332341
5,-65.67755164017326,58.84581394639019
6,-65.23572518306825,52.17157869218187
7,-64.29714661101782,45.44716945346496
8,-62.835631232419814,38.45012653771164
9,-60.83219478502798,31.014623610921543
10,-58.26769650619872,23.049542248502295
11,-55.11380450540763,14.534515067864593
12,-51.32357268767344,5.503721171732696
13,-46.82160016271203,-3.971796197206486
14,-41.49262606061762,-13.796643617364838
15,-35.16684499017615,-23.855564130700298
16,-27.600505278351765,-34.007997458653506
17,-18.452989829728335,-44.067992505042675
18,-7.2722065568704695,-53.75499917884977
19,6.464675133694844,-62.57079917350822
20,23.112131258587926,-69.44932439346309
21,42.08044788865096,-71.5680593058738
22,59.747455730492504,-60.02427472863123
23,65.22657006955144,-23.24750313043193
